,0
0,2.95989
1,2.791017
2,1.417929
3,3.565485
4,2.963196
5,3.383066
6,-1.097496
7,3.299372
8,3.99508
9,2.471027
10,3.438875
11,2.790566
12,0.164245
13,0.742931
14,3.158921
15,2.566368
16,-2.272272
17,3.982171
18,-0.0371979999999999
19,0.8312579999999999
20,3.774688
21,3.10885
22,2.918944
23,2.060118
24,0.8925019999999999
25,2.302584
26,2.807817
27,2.907375
28,2.716081
29,1.944389
30,2.638926
31,2.902116
32,2.572193
33,2.979258
34,3.197719
35,2.913301
36,2.325535
37,2.660582
38,3.254929
39,2.657244
40,2.277338
41,2.054806
